endpoint	dataset	graph
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/envs_variables
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/envthes
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/eo1
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ep
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/epie
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/epilont
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/epio
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/epip
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/episem
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/epso
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ero
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/etanc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ethanc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ethopd
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/eupath
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/exmo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/exo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/exon
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/extract
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/falls
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fast-chrono
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fast-genreform
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fb-bt
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fb-cv
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fb-dv
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fb-sp
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fbbi
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fcc1
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fdc-gdmt
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fdt-o
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fenics
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fg
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fgnhns
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fhho
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fideo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fix
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/flu
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fma
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fmpm
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fns-h
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/foaf
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fobi
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/foo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/foodon
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fovt
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fplx
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/frmo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/fypo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/g-prov
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/galen
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gamuts
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gaz
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gbol
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gco
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gecko
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gender
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gene-cds
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/geo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/geosparql
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/geospecies
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gff-m4m
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gffo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gfo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gfo-bio
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/glyco
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/glycocoo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/glycordf
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gmo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gno
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/go
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/go-ext
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/go-plus
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gro
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gro-cpd
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gro-cpga
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gsso
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/gvo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hamidehsgh
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hancestro
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hasco
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hcdr
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hcpcs
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hdmponto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hecon
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/helifit
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/henecon
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hgnc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hgnc-nr
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hhear
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hhearp
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hhearvs
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hino
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hio
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hivmt
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hivo004
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hl7
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hmis033b
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hmislab0115
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hns
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hoip
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hom
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/home
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hoom
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hord
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hp
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hp_o
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hpio
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hravs
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hso
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/htn
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/hto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/i-adopt
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/i2sv
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/iao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ibd
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ibio
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ibo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/icd10cm
